No	Protein	Protein	Class
4546	CG17765	CG11293	2
4547	CG17765	CG6779	2
4548	CG17776	CG10209	2
4549	CG17776	CG4845	2
4550	CG17782	CG4792	2
4551	CG17785	CG31694	2
4552	CG17824	CG10600	2
4553	CG17824	CG9399	2
4554	CG1782	CG5686	2
4555	CG1782	CG8596	2
4556	CG17834	CG12819	2
4557	CG17834	CG13867	2
4558	CG17834	CG15475	2
4559	CG17834	CG7748	2
4560	CG17834	CG7957	2
4561	CG17836	CG5043	2
4562	CG17836	CG7484	2
4563	CG17841	CG13217	2
4564	CG17841	CG13917	2
4565	CG17841	CG32112	2
4566	CG17856	CG5346	2
4567	CG1786	CG8950	2
4568	CG17894	CG13900	2
4569	CG17894	CG14899	2
4570	CG17894	CG31477	2
4571	CG17894	CG32211	2
4572	CG17894	CG6238	2
4573	CG17896	CG13194	2
4574	CG17896	CG14362	2
4575	CG17896	CG7380	2
4576	CG17903	CG9809	2
4577	CG17904	CG15121	2
4578	CG17904	CG2714	2
4579	CG17904	CG6241	2
4580	CG17907	CG4299	2
4581	CG17907	CG4788	2
4582	CG17924	CG10687	2
4583	CG17924	CG6016	2
4584	CG17928	CG14133	2
4585	CG17928	CG1901	2
4586	CG17931	CG14332	2
4587	CG17931	CG6889	2
4588	CG1793	CG17725	2
4589	CG1793	CG32130	2
4590	CG1793	CG7003	2
4591	CG17943	CG7254	2
4592	CG17943	CG7742	2
4593	CG17947	CG15124	2
4594	CG17947	CG16985	2
4595	CG17947	CG31640	2
4596	CG17949	CG12179	2
4597	CG17949	CG1276	2
4598	CG17949	CG5532	2
4599	CG17949	CG9588	2
4600	CG1796	CG12425	2
4601	CG1796	CG7037	2
4602	CG1796	CG7038	2
4603	CG1796	CG8583	2
4604	CG1796	CG8651	2
4605	CG17977	CG3386	2
4606	CG17977	CG5859	2
4607	CG17985	CG13535	2
4608	CG17985	CG8292	2
4609	CG17988	CG1294	2
4610	CG1799	CG13576	2
4611	CG18004	CG1796	2
4612	CG18004	CG3917	2
4613	CG18004	CG9762	2
4614	CG18005	CG17217	2
4615	CG18012	CG10510	2
4616	CG18012	CG7676	2
4617	CG18013	CG7326	2
4618	CG1803	CG11579	2
4619	CG1803	CG5581	2
4620	CG1803	CG7795	2
4621	CG18041	CG9553	2
4622	CG18042	CG5057	2
4623	CG18042	CG7486	2
4624	CG18064	CG33113	2
4625	CG18064	CG7439	2
4626	CG18081	CG10120	2
4627	CG18090	CG13072	2
4628	CG18090	CG2075	2
4629	CG18090	CG7766	2
4630	CG18094	CG11115	2
4631	CG18094	CG11711	2
4632	CG18112	CG10687	2
4633	CG18112	CG7655	2
4634	CG18124	CG12995	2
4635	CG18135	CG31694	2
4636	CG18143	CG13495	2
4637	CG18143	CG14325	2
4638	CG18143	CG18568	2
4639	CG18143	CG2145	2
4640	CG1815	CG12125	2
4641	CG1815	CG12161	2
4642	CG1815	CG8080	2
4643	CG1818	CG14694	2
4644	CG1818	CG14766	2
4645	CG1818	CG4747	2
4646	CG1818	CG5080	2
4647	CG1821	CG13293	2
4648	CG18259	CG11907	2
4649	CG18259	CG3558	2
4650	CG1825	CG2759	2
4651	CG1825	CG4980	2
4652	CG1825	CG5073	2
4653	CG18266	CG11771	2
4654	CG18279	CG15482	2
4655	CG18279	CG8768	2
4656	CG18292	CG3874	2
4657	CG18304	CG32530	2
4658	CG18316	CG32512	2
4659	CG18316	CG8187	2
4660	CG18317	CG11896	2
4661	CG18317	CG8414	2
4662	CG18317	CG9856	2
4663	CG18332	CG14184	2
4664	CG18332	CG15283	2
4665	CG18343	CG6964	2
4666	CG18358	CG10002	2
4667	CG18362	CG10712	2
4668	CG18362	CG1486	2
4669	CG18362	CG4800	2
4670	CG18367	CG12936	2
4671	CG18367	CG5346	2
4672	CG18367	CG9528	2
4673	CG18377	CG15881	2
4674	CG18377	CG3806	2
4675	CG18377	CG5642	2
4676	CG18397	CG1273	2
4677	CG18397	CG13997	2
4678	CG18397	CG14792	2
4679	CG18397	CG5065	2
4680	CG18398	CG5648	2
4681	CG18412	CG7851	2
4682	CG18412	CG8247	2
4683	CG1841	CG14416	2
4684	CG1841	CG32512	2
4685	CG1841	CG8226	2
4686	CG18445	CG17712	2
4687	CG18445	CG32801	2
4688	CG18445	CG3351	2
4689	CG18445	CG7787	2
4690	CG18445	CG8038	2
4691	CG18449	CG15777	2
4692	CG18449	CG3649	2
4693	CG18449	CG6642	2
4694	CG1847	CG3532	2
4695	CG1847	CG5482	2
4696	CG1847	CG9834	2
4697	CG18496	CG13868	2
4698	CG18496	CG1803	2
4699	CG18496	CG6134	2
4700	CG18496	CG8332	2
4701	CG1851	CG11120	2
4702	CG1851	CG31082	2
4703	CG1851	CG9432	2
4704	CG18528	CG10315	2
4705	CG18528	CG13535	2
4706	CG18528	CG4217	2
4707	CG18545	CG1427	2
4708	CG18545	CG1883	2
4709	CG18545	CG4324	2
4710	CG18559	CG13449	2
4711	CG18559	CG14985	2
4712	CG18559	CG8366	2
4713	CG18559	CG8617	2
4714	CG18559	CG9173	2
4715	CG18568	CG1685	2
4716	CG18568	CG30077	2
4717	CG18572	CG10681	2
4718	CG18572	CG12676	2
4719	CG18572	CG13870	2
4720	CG18572	CG15452	2
4721	CG18572	CG9063	2
4722	CG18584	CG17183	2
4723	CG18584	CG7538	2
4724	CG18591	CG4336	2
4725	CG18591	CG7424	2
4726	CG18598	CG32683	2
4727	CG18604	CG5034	2
4728	CG18604	CG7439	2
4729	CG18608	CG8062	2
4730	CG18624	CG2652	2
4731	CG18624	CG5762	2
4732	CG18628	CG1665	2
4733	CG18628	CG4036	2
4734	CG18628	CG9781	2
4735	CG18635	CG11409	2
4736	CG18635	CG15740	2
4737	CG18635	CG7211	2
4738	CG18635	CG8326	2
4739	CG18659	CG14427	2
4740	CG18666	CG13070	2
4741	CG18666	CG18528	2
4742	CG18666	CG31324	2
4743	CG18666	CG9028	2
4744	CG1871	CG10315	2
4745	CG1871	CG32986	2
4746	CG1871	CG5757	2
4747	CG1871	CG8436	2
4748	CG1871	CG9801	2
4749	CG18730	CG12784	2
4750	CG18734	CG12081	2
4751	CG18734	CG13949	2
4752	CG1874	CG32365	2
4753	CG1874	CG3769	2
4754	CG1874	CG4877	2
4755	CG18769	CG14803	2
4756	CG18769	CG3268	2
4757	CG18769	CG6668	2
4758	CG18769	CG7053	2
4759	CG18769	CG7168	2
4760	CG18780	CG7057	2
4761	CG18788	CG1451	2
4762	CG18788	CG4204	2
4763	CG18788	CG9325	2
4764	CG18801	CG12018	2
4765	CG18803	CG4065	2
4766	CG18806	CG11579	2
4767	CG18809	CG2336	2
4768	CG18809	CG8843	2
4769	CG18811	CG11579	2
4770	CG18811	CG1963	2
4771	CG18811	CG31082	2
4772	CG18811	CG3744	2
4773	CG18811	CG5520	2
4774	CG18811	CG8527	2
4775	CG18812	CG12081	2
4776	CG18812	CG4570	2
4777	CG18812	CG8680	2
4778	CG1883	CG11508	2
4779	CG1883	CG13625	2
4780	CG1883	CG14666	2
4781	CG1883	CG32705	2
4782	CG1884	CG4042	2
4783	CG1884	CG6744	2
4784	CG1886	CG8064	2
4785	CG1888	CG3757	2
4786	CG1888	CG8395	2
4787	CG1901	CG9734	2
4788	CG1909	CG13502	2
4789	CG1909	CG17450	2
4790	CG1909	CG17564	2
4791	CG1909	CG6376	2
4792	CG1910	CG4800	2
4793	CG1911	CG11555	2
4794	CG1911	CG17841	2
4795	CG1911	CG6524	2
4796	CG1915	CG12000	2
4797	CG1915	CG14764	2
4798	CG1915	CG31196	2
4799	CG1921	CG11658	2
4800	CG1921	CG1216	2
4801	CG1921	CG7785	2
4802	CG1927	CG10809	2
4803	CG1944	CG10324	2
4804	CG1944	CG7813	2
4805	CG1958	CG11985	2
4806	CG1958	CG14900	2
4807	CG1958	CG15201	2
4808	CG1958	CG8980	2
4809	CG1963	CG33095	2
4810	CG1965	CG2336	2
4811	CG1965	CG9297	2
4812	CG1968	CG12954	2
4813	CG1968	CG7823	2
4814	CG1971	CG14568	2
4815	CG1971	CG14722	2
4816	CG1971	CG31247	2
4817	CG1975	CG17928	2
4818	CG1977	CG14073	2
4819	CG1977	CG15389	2
4820	CG1977	CG31694	2
4821	CG1983	CG9021	2
4822	CG1989	CG12023	2
4823	CG1994	CG14302	2
4824	CG1999	CG14489	2
4825	CG1999	CG17370	2
4826	CG2023	CG10281	2
4827	CG2023	CG3572	2
4828	CG2023	CG6182	2
4829	CG2034	CG31638	2
4830	CG2034	CG3572	2
4831	CG2034	CG4306	2
4832	CG2034	CG9911	2
4833	CG2038	CG12935	2
4834	CG2038	CG15654	2
4835	CG2046	CG16838	2
4836	CG2046	CG3810	2
4837	CG2061	CG10809	2
4838	CG2061	CG32244	2
4839	CG2061	CG6349	2
4840	CG2061	CG8495	2
4841	CG2075	CG31637	2
4842	CG2075	CG6225	2
4843	CG2075	CG7765	2
4844	CG2075	CG7851	2
4845	CG2079	CG13315	2
4846	CG2079	CG1888	2
4847	CG2079	CG5602	2
4848	CG2079	CG7729	2
4849	CG2083	CG14837	2
4850	CG2083	CG32549	2
4851	CG2086	CG10958	2
4852	CG2086	CG11249	2
4853	CG2086	CG13454	2
4854	CG2086	CG31694	2
4855	CG2086	CG9342	2
4856	CG2091	CG14184	2
4857	CG2091	CG2095	2
4858	CG2092	CG12521	2
4859	CG2092	CG14213	2
4860	CG2092	CG9432	2
4861	CG2093	CG9539	2
4862	CG2095	CG5232	2
4863	CG2096	CG10151	2
4864	CG2096	CG13415	2
4865	CG2096	CG3114	2
4866	CG2096	CG9531	2
4867	CG2096	CG9623	2
4868	CG2096	CG9781	2
4869	CG2097	CG15871	2
4870	CG2097	CG2061	2
4871	CG2101	CG31731	2
4872	CG2102	CG11334	2
4873	CG2107	CG6850	2
4874	CG2109	CG15520	2
4875	CG2124	CG10701	2
4876	CG2139	CG11148	2
4877	CG2139	CG6182	2
4878	CG2145	CG6455	2
4879	CG2157	CG15292	2
4880	CG2157	CG18559	2
4881	CG2165	CG4447	2
4882	CG2165	CG4925	2
4883	CG2168	CG5874	2
4884	CG2171	CG11968	2
4885	CG2171	CG2665	2
4886	CG2171	CG2765	2
4887	CG2183	CG1116	2
4888	CG2183	CG11658	2
4889	CG2183	CG4957	2
4890	CG2183	CG9306	2
4891	CG2194	CG1818	2
4892	CG2194	CG32133	2
4893	CG2200	CG11498	2
4894	CG2200	CG17943	2
4895	CG2200	CG31045	2
4896	CG2207	CG15382	2
4897	CG2207	CG4045	2
4898	CG2207	CG4537	2
4899	CG2209	CG10308	2
4900	CG2209	CG12425	2
4901	CG2210	CG4893	2
4902	CG2210	CG5201	2
4903	CG2213	CG10692	2
4904	CG2213	CG11120	2
4905	CG2213	CG5189	2
4906	CG2216	CG12534	2
4907	CG2216	CG13926	2
4908	CG2217	CG31357	2
4909	CG2217	CG5928	2
4910	CG2217	CG6981	2
4911	CG2219	CG10990	2
4912	CG2221	CG3985	2
4913	CG2225	CG13113	2
4914	CG2225	CG3773	2
4915	CG2225	CG4692	2
4916	CG2225	CG7939	2
4917	CG2249	CG10158	2
4918	CG2249	CG15120	2
4919	CG2249	CG18013	2
4920	CG2249	CG9232	2
4921	CG2258	CG2944	2
4922	CG2261	CG10387	2
4923	CG2261	CG12419	2
4924	CG2261	CG9172	2
4925	CG2264	CG11248	2
4926	CG2264	CG11295	2
4927	CG2264	CG13293	2
4928	CG2264	CG2637	2
4929	CG2264	CG31732	2
4930	CG2330	CG13223	2
4931	CG2336	CG13609	2
4932	CG2336	CG14442	2
4933	CG2346	CG8326	2
4934	CG2448	CG13870	2
4935	CG2448	CG14166	2
4936	CG2467	CG31005	2
4937	CG2467	CG9247	2
4938	CG2469	CG3981	2
4939	CG2469	CG4319	2
4940	CG2469	CG5923	2
4941	CG2493	CG15893	2
4942	CG2493	CG8776	2
4943	CG2519	CG5520	2
4944	CG2519	CG5641	2
4945	CG2522	CG1577	2
4946	CG2540	CG13707	2
4947	CG2540	CG15617	2
4948	CG2540	CG1753	2
4949	CG2540	CG2221	2
4950	CG2540	CG6519	2
4951	CG2608	CG10212	2
4952	CG2608	CG11907	2
4953	CG2608	CG7424	2
4954	CG2608	CG8268	2
4955	CG2608	CG8408	2
4956	CG2637	CG1671	2
4957	CG2637	CG32705	2
4958	CG2652	CG13868	2
4959	CG2652	CG6182	2
4960	CG2652	CG9226	2
4961	CG2652	CG9473	2
4962	CG2665	CG1104	2
4963	CG2665	CG11614	2
4964	CG2665	CG13210	2
4965	CG2670	CG2267	2
4966	CG2670	CG6225	2
4967	CG2671	CG11876	2
4968	CG2671	CG17785	2
4969	CG2671	CG4042	2
4970	CG2674	CG18000	2
4971	CG2674	CG5529	2
4972	CG2674	CG9795	2
4973	CG2677	CG10680	2
4974	CG2677	CG11451	2
4975	CG2677	CG8069	2
4976	CG2691	CG15632	2
4977	CG2691	CG16869	2
4978	CG2694	CG12819	2
4979	CG2694	CG1620	2
4980	CG2698	CG8886	2
4981	CG2701	CG7219	2
4982	CG2708	CG5315	2
4983	CG2708	CG7182	2
4984	CG2708	CG8578	2
4985	CG2708	CG9938	2
4986	CG2709	CG14254	2
4987	CG2713	CG17003	2
4988	CG2713	CG7484	2
4989	CG2714	CG30159	2
4990	CG2714	CG31847	2
4991	CG2714	CG4488	2
4992	CG2714	CG6371	2
4993	CG2715	CG15602	2
4994	CG2718	CG11397	2
4995	CG2718	CG31122	2
4996	CG2718	CG4169	2
4997	CG2718	CG7037	2
4998	CG2746	CG12728	2
4999	CG2746	CG14512	2
5000	CG2746	CG7518	2
5001	CG2747	CG15016	2
5002	CG2747	CG4520	2
5003	CG2759	CG15209	2
5004	CG2759	CG31005	2
5005	CG2765	CG10726	2
5006	CG2765	CG12721	2
5007	CG2765	CG3416	2
5008	CG2774	CG6253	2
5009	CG2788	CG31457	2
5010	CG2791	CG6755	2
5011	CG2803	CG6040	2
5012	CG2830	CG2331	2
5013	CG2848	CG13293	2
5014	CG2848	CG2812	2
5015	CG2848	CG31909	2
5016	CG2855	CG33002	2
5017	CG2859	CG1461	2
5018	CG2859	CG7326	2
5019	CG2862	CG12770	2
5020	CG2862	CG7441	2
5021	CG2863	CG1274	2
5022	CG2863	CG12775	2
5023	CG2863	CG4204	2
5024	CG2865	CG8086	2
5025	CG2875	CG18596	2
5026	CG2875	CG4464	2
5027	CG2910	CG14121	2
5028	CG2910	CG14519	2
5029	CG2910	CG8507	2
5030	CG2924	CG13280	2
5031	CG2924	CG8593	2
5032	CG2925	CG4300	2
5033	CG2931	CG2677	2
5034	CG2931	CG6550	2
5035	CG2931	CG8188	2
5036	CG2938	CG10231	2
5037	CG2938	CG31732	2
5038	CG2938	CG32858	2
5039	CG2938	CG8064	2
5040	CG2944	CG2519	2
5041	CG2955	CG12324	2
5042	CG2955	CG18094	2
5043	CG2955	CG6341	2
5044	CG2955	CG8606	2
5045	CG2955	CG9392	2
5046	CG2957	CG13843	2
5047	CG2957	CG31648	2
5048	CG2957	CG5661	2
5049	CG2967	CG10075	2
5050	CG2967	CG17129	2
5051	CG2967	CG7926	2
5052	CG2968	CG2863	2
5053	CG2968	CG7006	2
5054	CG2972	CG15822	2
5055	CG2972	CG30193	2
5056	CG2977	CG32438	2
5057	CG2977	CG8912	2
5058	CG2982	CG4945	2
5059	CG2984	CG13317	2
5060	CG2984	CG4162	2
5061	CG2984	CG5499	2
5062	CG2986	CG5175	2
5063	CG2986	CG5661	2
5064	CG2986	CG7011	2
5065	CG2987	CG11658	2
5066	CG2987	CG11718	2
5067	CG2987	CG3386	2
5068	CG2998	CG12125	2
5069	CG2999	CG10528	2
5070	CG2999	CG6697	2
5071	CG30011	CG10479	2
5072	CG30011	CG12400	2
5073	CG30019	CG10341	2
5074	CG30019	CG6910	2
5075	CG30019	CG7015	2
5076	CG3001	CG15916	2
5077	CG30035	CG11539	2
5078	CG30035	CG14488	2
5079	CG30035	CG1705	2
5080	CG30035	CG9246	2
5081	CG30035	CG9288	2
5082	CG30044	CG5613	2
5083	CG30044	CG7211	2
5084	CG3004	CG11756	2
5085	CG3004	CG7610	2
5086	CG3004	CG8228	2
5087	CG30077	CG12175	2
5088	CG30077	CG7962	2
5089	CG30084	CG10726	2
5090	CG30084	CG1681	2
5091	CG30084	CG33134	2
5092	CG30085	CG11658	2
5093	CG30085	CG6642	2
5094	CG30089	CG1994	2
5095	CG30115	CG1084	2
5096	CG30118	CG12418	2
5097	CG30118	CG15881	2
5098	CG3011	CG1483	2
5099	CG3011	CG15389	2
5100	CG3011	CG15811	2
5101	CG30122	CG14632	2
5102	CG30122	CG5433	2
5103	CG30141	CG3027	2
5104	CG3014	CG13907	2
5105	CG3014	CG15042	2
5106	CG30159	CG14437	2
5107	CG30159	CG7726	2
5108	CG3017	CG3909	2
5109	CG3017	CG5520	2
5110	CG3017	CG8612	2
5111	CG30183	CG6011	2
5112	CG30193	CG12324	2
5113	CG30193	CG1361	2
5114	CG30193	CG31111	2
5115	CG30193	CG3299	2
5116	CG30193	CG9241	2
5117	CG30194	CG13780	2
5118	CG30194	CG2859	2
5119	CG30194	CG31258	2
5120	CG30194	CG3496	2
5121	CG30194	CG4103	2
5122	CG3019	CG1271	2
5123	CG3019	CG6766	2
5124	CG3019	CG7961	2
5125	CG30217	CG15283	2
5126	CG30217	CG6773	2
5127	CG3021	CG5835	2
5128	CG3021	CG6238	2
5129	CG3021	CG7536	2
5130	CG30291	CG32737	2
5131	CG30295	CG4097	2
5132	CG30324	CG11164	2
5133	CG30324	CG33126	2
5134	CG30324	CG9170	2
5135	CG30337	CG10711	2
5136	CG30337	CG13085	2
5137	CG30337	CG30011	2
5138	CG30337	CG4306	2
5139	CG30337	CG6806	2
5140	CG30349	CG3027	2
5141	CG30359	CG6541	2
5142	CG30359	CG7654	2
5143	CG30365	CG10339	2
5144	CG30365	CG15283	2
5145	CG30365	CG15456	2
5146	CG30365	CG30291	2
5147	CG30365	CG8671	2
5148	CG30389	CG4561	2
5149	CG30393	CG14651	2
5150	CG30393	CG9224	2
5151	CG30403	CG12013	2
5152	CG30403	CG13293	2
5153	CG30403	CG1344	2
5154	CG30404	CG2221	2
5155	CG30404	CG9187	2
5156	CG30415	CG15109	2
5157	CG30415	CG5482	2
5158	CG30415	CG6951	2
5159	CG30419	CG32230	2
5160	CG30419	CG9192	2
5161	CG30423	CG10701	2
5162	CG30423	CG15185	2
5163	CG30423	CG7127	2
5164	CG30437	CG10306	2
5165	CG30437	CG11419	2
5166	CG30437	CG14184	2
5167	CG30437	CG15425	2
5168	CG30447	CG12229	2
5169	CG30447	CG14104	2
5170	CG30447	CG7952	2
5171	CG30460	CG18398	2
5172	CG3048	CG8615	2
5173	CG30492	CG1483	2
5174	CG30493	CG4945	2
5175	CG30494	CG15364	2
5176	CG30494	CG7736	2
5177	CG30502	CG10470	2
5178	CG30502	CG5824	2
5179	CG3058	CG14750	2
5180	CG3058	CG5063	2
5181	CG3060	CG17520	2
5182	CG3062	CG5270	2
5183	CG3071	CG9629	2
5184	CG3073	CG10610	2
5185	CG3073	CG8269	2
5186	CG3078	CG13531	2
5187	CG3078	CG15564	2
5188	CG3078	CG9508	2
5189	CG3081	CG14128	2
5190	CG3082	CG13662	2
5191	CG3085	CG10616	2
5192	CG3085	CG11807	2
5193	CG3085	CG31151	2
5194	CG3093	CG1418	2
5195	CG3093	CG4199	2
5196	CG3095	CG13016	2
5197	CG3095	CG13098	2
5198	CG31000	CG15697	2
5199	CG31000	CG9297	2
5200	CG31005	CG32711	2
5201	CG31005	CG9248	2
5202	CG31012	CG12816	2
5203	CG31012	CG17273	2
5204	CG31012	CG4324	2
5205	CG31022	CG17369	2
5206	CG31029	CG17337	2
5207	CG31029	CG5316	2
5208	CG31029	CG9526	2
5209	CG31040	CG10965	2
5210	CG31040	CG10986	2
5211	CG31040	CG14445	2
5212	CG31040	CG2791	2
5213	CG31040	CG6302	2
5214	CG31045	CG8446	2
5215	CG31045	CG8886	2
5216	CG31053	CG15185	2
5217	CG31053	CG4468	2
5218	CG31063	CG30337	2
5219	CG3107	CG10594	2
5220	CG3107	CG14024	2
5221	CG3107	CG32556	2
5222	CG31082	CG10315	2
5223	CG31082	CG13458	2
5224	CG31082	CG5745	2
5225	CG31090	CG8454	2
5226	CG31111	CG7570	2
5227	CG31122	CG11380	2
5228	CG31122	CG17320	2
5229	CG31122	CG5161	2
5230	CG31136	CG6550	2
5231	CG31140	CG11312	2
5232	CG31140	CG5215	2
5233	CG31140	CG5519	2
5234	CG31140	CG8900	2
5235	CG31145	CG17337	2
5236	CG31145	CG30359	2
5237	CG3114	CG10585	2
5238	CG3114	CG14053	2
5239	CG3114	CG15860	2
5240	CG3114	CG3979	2
5241	CG31150	CG18624	2
5242	CG31151	CG12125	2
5243	CG31151	CG2677	2
5244	CG31163	CG1422	2
5245	CG31163	CG15415	2
5246	CG31163	CG4057	2
5247	CG31175	CG11025	2
5248	CG31175	CG6569	2
5249	CG31175	CG8487	2
5250	CG31196	CG11594	2
5251	CG31196	CG15056	2
5252	CG31196	CG15211	2
5253	CG31196	CG4968	2
5254	CG31226	CG3687	2
5255	CG31232	CG12020	2
5256	CG31232	CG18624	2
5257	CG31232	CG7049	2
5258	CG31232	CG9813	2
5259	CG31235	CG15154	2
5260	CG31235	CG7762	2
5261	CG31235	CG8824	2
5262	CG31235	CG9022	2
5263	CG31241	CG18445	2
5264	CG31247	CG7007	2
5265	CG31258	CG13883	2
5266	CG31258	CG33198	2
5267	CG31258	CG3558	2
5268	CG31258	CG3988	2
5269	CG31291	CG10192	2
5270	CG31291	CG11173	2
5271	CG31291	CG2249	2
5272	CG31291	CG3766	2
5273	CG31291	CG9124	2
5274	CG31293	CG13339	2
5275	CG31293	CG2046	2
5276	CG31302	CG31738	2
5277	CG31305	CG17604	2
5278	CG31319	CG31924	2
5279	CG31322	CG11271	2
5280	CG31322	CG5067	2
5281	CG31322	CG7348	2
5282	CG31323	CG11639	2
5283	CG31323	CG11907	2
5284	CG31323	CG14827	2
5285	CG31323	CG8151	2
5286	CG31324	CG10339	2
5287	CG31326	CG2493	2
5288	CG31330	CG12363	2
5289	CG31330	CG15105	2
5290	CG31330	CG4199	2
5291	CG31330	CG8016	2
5292	CG31342	CG5075	2
5293	CG31357	CG13361	2
5294	CG31363	CG1007	2
5295	CG31368	CG32950	2
5296	CG31368	CG3767	2
5297	CG31368	CG7126	2
5298	CG3140	CG14609	2
5299	CG3140	CG5288	2
5300	CG31457	CG10922	2
5301	CG31457	CG13400	2
5302	CG31460	CG14480	2
5303	CG31460	CG16721	2
5304	CG31475	CG13587	2
5305	CG31477	CG11420	2
5306	CG31477	CG18042	2
5307	CG31477	CG32737	2
5308	CG31477	CG5596	2
5309	CG31477	CG7048	2
5310	CG31477	CG8900	2
5311	CG31478	CG10173	2
5312	CG3149	CG15822	2
5313	CG3149	CG4454	2
5314	CG31510	CG2670	2
5315	CG31510	CG8981	2
5316	CG31559	CG32479	2
5317	CG31559	CG3999	2
5318	CG31559	CG9252	2
5319	CG31605	CG11006	2
5320	CG31605	CG4716	2
5321	CG31635	CG30159	2
5322	CG31635	CG32955	2
5323	CG31637	CG7865	2
5324	CG31638	CG15883	2
5325	CG31638	CG31649	2
5326	CG31638	CG6845	2
5327	CG31640	CG11199	2
5328	CG31640	CG14024	2
5329	CG31640	CG15443	2
5330	CG31640	CG15669	2
5331	CG31640	CG6497	2
5332	CG31640	CG7202	2
5333	CG31640	CG7484	2
5334	CG31643	CG32555	2
5335	CG31643	CG4299	2
5336	CG31643	CG5677	2
5337	CG31643	CG6718	2
5338	CG31644	CG3832	2
5339	CG31648	CG1883	2
5340	CG31648	CG2107	2
5341	CG31648	CG5760	2
5342	CG31648	CG9005	2
5343	CG31649	CG3263	2
5344	CG31649	CG3773	2
5345	CG3165	CG12770	2
5346	CG31676	CG13155	2
5347	CG31676	CG1641	2
5348	CG31676	CG3756	2
5349	CG31676	CG5739	2
5350	CG31692	CG14121	2
5351	CG31692	CG5885	2
5352	CG31692	CG8788	2
5353	CG31694	CG15520	2
5354	CG31694	CG7203	2
5355	CG31731	CG14898	2
5356	CG31731	CG6506	2
5357	CG31731	CG6588	2
5358	CG31732	CG8668	2
5359	CG31743	CG33070	2
5360	CG31743	CG5939	2
5361	CG31743	CG8366	2
5362	CG3174	CG4257	2
5363	CG31756	CG11964	2
5364	CG31756	CG15364	2
5365	CG31760	CG1427	2
5366	CG31764	CG10489	2
5367	CG31797	CG7808	2
5368	CG3180	CG10315	2
5369	CG3180	CG10582	2
5370	CG3180	CG11306	2
5371	CG3180	CG17342	2
5372	CG3180	CG6304	2
5373	CG3181	CG11753	2
5374	CG3181	CG32104	2
5375	CG3181	CG3649	2
5376	CG3181	CG7785	2
5377	CG31826	CG10315	2
5378	CG31826	CG11349	2
5379	CG31826	CG14898	2
5380	CG3183	CG1544	2
5381	CG31847	CG12812	2
5382	CG31847	CG5809	2
5383	CG31869	CG1112	2
5384	CG31869	CG15760	2
5385	CG31869	CG4168	2
5386	CG3186	CG12025	2
5387	CG3186	CG18780	2
5388	CG3186	CG4835	2
5389	CG3189	CG6625	2
5390	CG3189	CG9016	2
5391	CG31909	CG4589	2
5392	CG31917	CG31342	2
5393	CG31917	CG5802	2
5394	CG31924	CG17510	2
5395	CG31924	CG8668	2
5396	CG31924	CG9804	2
5397	CG3193	CG13000	2
5398	CG3193	CG7586	2
5399	CG3195	CG9445	2
5400	CG31961	CG3649	2
5401	CG31961	CG8765	2
5402	CG31974	CG3140	2
5403	CG31974	CG6341	2
5404	CG31990	CG11775	2
5405	CG31990	CG18628	2
5406	CG31990	CG5502	2
5407	CG31997	CG12645	2
5408	CG31997	CG30365	2
5409	CG31999	CG30460	2
5410	CG31999	CG4062	2
5411	CG31999	CG4169	2
5412	CG32000	CG4887	2
5413	CG32000	CG6222	2
5414	CG32000	CG8058	2
5415	CG32000	CG8446	2
5416	CG32016	CG13188	2
5417	CG32016	CG32626	2
5418	CG3203	CG2453	2
5419	CG3203	CG7770	2
5420	CG32043	CG5686	2
5421	CG32046	CG10343	2
5422	CG32046	CG13495	2
5423	CG32046	CG15087	2
5424	CG32046	CG2977	2
5425	CG32046	CG8776	2
5426	CG32067	CG11110	2
5427	CG32067	CG11819	2
5428	CG32067	CG1660	2
5429	CG32067	CG6897	2
5430	CG3206	CG5327	2
5431	CG32075	CG18598	2
5432	CG32075	CG2957	2
5433	CG32075	CG30078	2
5434	CG32075	CG7017	2
5435	CG32096	CG12081	2
5436	CG32096	CG32295	2
5437	CG32096	CG7886	2
5438	CG3209	CG13315	2
5439	CG3209	CG7654	2
5440	CG32100	CG11133	2
5441	CG32100	CG33209	2
5442	CG32104	CG17601	2
5443	CG32104	CG4968	2
5444	CG32104	CG7536	2
5445	CG32112	CG1519	2
5446	CG32112	CG8282	2
5447	CG32130	CG1847	2
5448	CG32130	CG7558	2
5449	CG32133	CG11639	2
5450	CG32133	CG12227	2
5451	CG32133	CG17645	2
5452	CG3213	CG15302	2
5453	CG32140	CG6290	2
5454	CG3214	CG1681	2
5455	CG3214	CG30035	2
5456	CG3214	CG31961	2
5457	CG32159	CG2448	2
5458	CG32159	CG9213	2
5459	CG32176	CG12124	2
5460	CG32176	CG4199	2
5461	CG32183	CG13636	2
5462	CG32183	CG5548	2
5463	CG32211	CG11676	2
5464	CG32211	CG3689	2
5465	CG3222	CG4494	2
5466	CG3222	CG7091	2
5467	CG32230	CG4789	2
5468	CG32253	CG17757	2
5469	CG32253	CG8095	2
5470	CG32264	CG12218	2
5471	CG32264	CG1963	2
5472	CG32264	CG3735	2
5473	CG32295	CG33174	2
5474	CG32295	CG8057	2
5475	CG32295	CG8268	2
5476	CG32297	CG14271	2
5477	CG32297	CG16781	2
